frame,country,slope,r_squared,p_value,trend_direction,significant_trend
safety_security,USA,-8.11e-4,0.002,0.752,Decreasing,FALSE
safety_security,Ireland,8.95e-4,0.005,0.6422,Increasing,FALSE
privacy_concerns,USA,-2.64e-4,0.003,0.7003,Decreasing,FALSE
privacy_concerns,Ireland,-0.001017,0.089,0.0379,Decreasing,TRUE
ethical_concerns,USA,-0.003604,0.574,0,Decreasing,TRUE
ethical_concerns,Ireland,-0.002353,0.071,0.0645,Decreasing,FALSE
job_displacement,USA,-6.3e-5,0.003,0.7166,Decreasing,FALSE
job_displacement,Ireland,7.2e-5,0.003,0.6877,Increasing,FALSE
ai_capability,USA,-0.002001,0.062,0.0699,Decreasing,FALSE
ai_capability,Ireland,-0.001891,0.195,0.0015,Decreasing,TRUE
human_vs_ai,USA,0,0,1,Increasing,FALSE
human_vs_ai,Ireland,-1.6e-5,0,0.8812,Decreasing,FALSE
uncertainty_unknown,USA,-3.27e-4,0.018,0.3291,Decreasing,FALSE
uncertainty_unknown,Ireland,-9.9e-5,0.001,0.8079,Decreasing,FALSE
regulation_needed,USA,-0.004197,0.033,0.1877,Decreasing,FALSE
regulation_needed,Ireland,-0.003466,0.029,0.2446,Decreasing,FALSE
innovation_progress,USA,2.46e-4,0,0.8793,Increasing,FALSE
innovation_progress,Ireland,0.001344,0.007,0.5615,Increasing,FALSE
economic_benefits,USA,0.001111,0.006,0.5771,Increasing,FALSE
economic_benefits,Ireland,0.002615,0.043,0.1522,Increasing,FALSE
