"","safety_security","privacy_concerns","ethical_concerns","job_displacement","ai_capability","human_vs_ai","uncertainty_unknown","regulation_needed","innovation_progress","economic_benefits"
"safety_security",1,-0.0793328828021918,0.0499339684647285,-0.285043856274785,0.136628853714886,-0.151461330519253,0.208166599946613,0.154485849552739,-0.256410256410257,0.0564470947862149
"privacy_concerns",-0.0793328828021918,1,0.223905537759949,-0.100503781525921,0.164772727272727,0.0763076419619451,-0.151382517704875,0.122712823019589,-0.0793328828021919,-0.132477443174637
"ethical_concerns",0.0499339684647285,0.223905537759949,1,-0.105203176441272,0.406761726930575,-0.15035419175641,0.013558153613666,0.243771390754178,0.0499339684647286,-0.0992647058823529
"job_displacement",-0.285043856274785,-0.100503781525921,-0.105203176441272,1,-0.100503781525921,0.699702317656111,-0.0912870929175277,0.0867360833110887,0.0730881682755858,0.105203176441272
"ai_capability",0.136628853714886,0.164772727272727,0.406761726930575,-0.100503781525921,1,-0.143637914281308,0.233954800089352,0.122712823019589,0.136628853714886,-0.0410493485893241
"human_vs_ai",-0.151461330519253,0.0763076419619451,-0.15035419175641,0.699702317656111,-0.143637914281308,1,-0.130465614610688,0.123961406332968,0.104456090013278,0.15035419175641
"uncertainty_unknown",0.208166599946613,-0.151382517704875,0.013558153613666,-0.0912870929175277,0.233954800089352,-0.130465614610688,1,0.175411603861406,-0.0160128153805087,-0.013558153613666
"regulation_needed",0.154485849552739,0.122712823019589,0.243771390754178,0.0867360833110887,0.122712823019589,0.123961406332968,0.175411603861406,1,0.0397918097332814,0.0475651494154495
"innovation_progress",-0.256410256410257,-0.0793328828021919,0.0499339684647286,0.0730881682755858,0.136628853714886,0.104456090013278,-0.0160128153805087,0.0397918097332814,1,0.375590284539045
"economic_benefits",0.0564470947862149,-0.132477443174637,-0.0992647058823529,0.105203176441272,-0.0410493485893241,0.15035419175641,-0.013558153613666,0.0475651494154495,0.375590284539045,1
