feature,chi2,p,n_target,n_reference,significant,fdr_p,fdr_significant,favors
a.i,234.152,0,317,0,TRUE,0,TRUE,USA
openai,126.193,0,209,11,TRUE,0,TRUE,USA
$,111.372,0,198,14,TRUE,0,TRUE,USA
mr,93.734,0,191,20,TRUE,0,TRUE,USA
said,89.786,0,425,123,TRUE,0,TRUE,USA
billion,75.109,0,126,7,TRUE,0,TRUE,USA
u.s,66.225,0,90,0,TRUE,0,TRUE,USA
altman,62.796,0,89,1,TRUE,0,TRUE,USA
deepseek,56.519,0,84,2,TRUE,0,TRUE,USA
silicon,51.44,0,87,5,TRUE,0,TRUE,USA
valley,47.961,0,79,4,TRUE,0,TRUE,USA
microsoft,39.145,0,73,6,TRUE,0,TRUE,USA
chinese,38.519,0,56,1,TRUE,0,TRUE,USA
centers,37.503,0,51,0,TRUE,0,TRUE,USA
power,36.759,0,114,23,TRUE,0,TRUE,USA
company,34.433,0,163,47,TRUE,0,TRUE,USA
money,34.205,0,60,4,TRUE,0,TRUE,USA
musk,33.088,0,45,0,TRUE,0,TRUE,USA
google,32.422,0,80,12,TRUE,0,TRUE,USA
york,31.349,0,62,6,TRUE,0,TRUE,USA
deepmind,30.88,0,42,0,TRUE,0,TRUE,USA
openai's,30.88,0,42,0,TRUE,0,TRUE,USA
startups,30.44,0,45,1,TRUE,0,TRUE,USA
chips,29.707,0,44,1,TRUE,0,TRUE,USA
tech,29.18,0,159,50,TRUE,0,TRUE,USA
